player.playerId,player.player.player.givenName,player.player.player.surname,ID
CD_I270512,Pearce,Hanley,11704
CD_I261374,Sam J.,Reid,11705
CD_I261297,Jack,Grimes,11707
CD_I270811,Sam,Jacobs,11708
CD_I290311,Mitch,Robinson,11710
CD_I270653,Jeff,Garlett,11711
CD_I280506,Taylor,Walker,11713
CD_I270935,Michael,Hurley,11715
CD_I280336,Stephen,Hill,11716
CD_I270908,Nick,Suban,11717
CD_I270732,Matthew,Suckling,11718
CD_I261386,Brendan,Whitecross,11719
CD_I281301,Ryan,Schoenmakers,11720
CD_I270215,Kyle,Cheney,11721
CD_I280521,Jake,Spencer,11722
CD_I281280,Neville,Jetta,11723
CD_I280944,Jack,Ziebell,11724
CD_I271072,Daniel,Rich,11725
CD_I290943,Jamie,Bennell,11726
CD_I271001,Dayne,Beams,11728
CD_I270951,David,Zaharakis,11729
CD_I271439,Liam,Picken,11731
CD_I261362,Alex,Rance,11733
CD_I250623,Robin,Nahas,11734
CD_I261892,Hamish,Hartlett,11740
CD_I261181,Brent,Macaffer,11743
CD_I261319,Jarrad,Grant,11744
CD_I270861,Levi,Greenwood,11745
CD_I271015,Matt,de Boer,11746
CD_I280965,Steele,Sidebottom,11751
CD_I240131,Nathan,Grima,11754
CD_I280864,Sam,Wright,11755
CD_I280737,Liam,Shiels,11760
CD_I281007,Michael,Walters,11763
CD_I280386,Clancee,Pearce,11764
CD_I280972,Jack,Watts,11765
CD_I270941,Ty,Vickery,11767
CD_I271045,Nic,Naitanui,11768
CD_I260069,Hayden,Ballantyne,11770
CD_I290251,Zac,Clarke,11771
CD_I280038,Shaun,McKernan,11774
CD_I270899,Jeremy,Laidler,11778
CD_I280441,Patrick,McGinnity,11779
CD_I281373,Jack,Redden,11780
CD_I271078,Matthew,Broadbent,11782
CD_I290117,Dan,Hannebery,11783
CD_I270919,Tom,Rockliff,11787
CD_I281139,Easton,Wood,11788
CD_I270912,Jack,Steven,11791
CD_I270963,Rory,Sloane,11792
CD_I280858,Shane,Savage,11793
CD_I290847,Dustin,Martin,11794
CD_I260073,Ben,Howlett,11797
CD_I281065,Mitch,Duncan,11798
CD_I280969,Tom,Scully,11802
CD_I280608,Jack,Trengove,11803
CD_I281281,Lewis,Jetta,11804
CD_I280078,Luke,Shuey,11805
CD_I292026,Michael,Barlow,11809
CD_I271433,Alex,Silvagni,11810
CD_I280863,Ryan,Bastinac,11811
CD_I280013,Jackson,Trengove,11812
CD_I280750,Andrew,Moore,11814
CD_I280990,Steven,Motlop,11818
CD_I280824,Jake,Melksham,11820
CD_I280988,Travis,Colyer,11821
CD_I270340,Dawson,Simpson,11822
CD_I280471,Ben,Stratton,11824
CD_I280804,Phil,Davis,11825
CD_I270637,Simon,White,11826
CD_I290198,David,Astbury,11828
CD_I292025,Matt,Dea,11829
CD_I291201,Ricky,Henderson,11832
CD_I280012,Jordan,Roughead,11833
CD_I291570,Nat,Fyfe,11834
CD_I280921,Ben,Cunnington,11835
CD_I261230,Matthew,Lobbe,11836
CD_I280933,Dylan,Roberton,11839
CD_I291357,Gary,Rohan,11842
CD_I281080,Brad,Sheppard,11843
CD_I291351,Jack,Gunston,11845
CD_I280317,Rhys,Stanley,11847
CD_I280747,Ben,Griffiths,11850
CD_I280822,Taylor,Hunt,11851
CD_I280946,Koby,Stevens,11852
CD_I280104,Jarryd,Blair,11855
CD_I270325,Robbie,Tarrant,11859
CD_I290194,Jamie,Macmillan,11862
CD_I281048,Ryan,Harwood,11863
CD_I270938,Tom,Lynch,11865
CD_I281078,Liam,Jones,11866
CD_I290641,Jake,Carlisle,11871
CD_I292503,Stewart,Crameri,11872
CD_I291307,Daniel,Menzel,11873
CD_I280819,Dylan,Grimes,11879
CD_I290188,Sam,Reid,11880
CD_I270146,Ed,Curnow,11883
CD_I290550,Cameron,Guthrie,11884
CD_I290156,Jasper,Pittard,11885
CD_I290540,Cameron,O'Shea,11887
CD_I290823,Reece,Conca,11888
CD_I291437,Jake,Batchelor,11889
CD_I291748,Brodie,Smith,11891
CD_I292035,Claye,Beams,11893
CD_I291548,Ryan,Lester,11894
CD_I281329,Rohan,Bewick,11895
CD_I290629,Dyson,Heppell,11896
CD_I290799,Tom,Liberatore,11898
CD_I290787,Shaun,Atley,11902
